Title,Plot,Released,Genre,Main_Genre,IMDb_Rating,Year,Director,Actors,IMDb_ID
Wrath of Man,A mysteriously stoic character is hired as a security guard by a cash truck company responsible for transporting a lot of money around Los Angeles each week.,07 May 2021,"Action, Crime, Thriller",Action,7.1,2021,Guy Ritchie,"Jason Statham, Holt McCallany, Josh Hartnett",tt11083552
Demolition Man,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,08 Oct 1993,"Action, Sci-Fi, Thriller",Action,6.7,1993,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock",tt0106697
The King's Man,"In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions of people.",22 Dec 2021,"Action, Adventure, Thriller",Action,6.3,2021,Matthew Vaughn,"Ralph Fiennes, Gemma Arterton, Rhys Ifans",tt6856242
The Man in the Iron Mask,The cruel King Louis XIV of France has a secret twin brother whom he keeps imprisoned. Can the twin be substituted for the real king?,13 Mar 1998,"Action, Adventure, Drama",Action,6.5,1998,Randall Wallace,"Leonardo DiCaprio, Jeremy Irons, John Malkovich",tt0120744
The Running Man,"In a dystopian America, a falsely convicted policeman gets his shot at freedom when he must forcibly participate in a TV game show where convicts, runners, must battle killers for their freedom.",13 Nov 1987,"Action, Sci-Fi, Thriller",Action,6.6,1987,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto",tt0093894
Man on a Ledge,"As a police psychologist works to talk down an ex-con who is threatening to jump from a Manhattan hotel rooftop, the biggest diamond heist ever committed is in motion.",27 Jan 2012,"Action, Crime, Thriller",Action,6.6,2012,Asger Leth,"Sam Worthington, Elizabeth Banks, Jamie Bell",tt1568338
Hollow Man,"A brilliant scientist's discovery renders him invisible, but transforms him into an omnipotent, dangerous megalomaniac.",04 Aug 2000,"Action, Horror, Sci-Fi",Action,5.9,2000,Paul Verhoeven,"Kevin Bacon, Elisabeth Shue, Josh Brolin",tt0164052
Gemini Man,An over-the-hill hitman faces off against a younger clone of himself.,11 Oct 2019,"Action, Sci-Fi, Thriller",Action,5.7,2019,Ang Lee,"Will Smith, Mary Elizabeth Winstead, Clive Owen",tt1025100
The Man with the Golden Gun,"James Bond is targeted by the world's most expensive assassin, while he attempts to recover sensitive solar cell technology that is being sold to the highest bidder.",20 Dec 1974,"Action, Adventure, Thriller",Action,6.7,1974,Guy Hamilton,"Roger Moore, Christopher Lee, Britt Ekland",tt0071807
Ip Man 2,Centering on Ip Man's migration to Hong Kong in 1949 as he attempts to propagate his discipline of Wing Chun martial arts.,29 Apr 2010,"Action, Biography, Drama",Action,7.5,2010,Wilson Yip,"Donnie Yen, Xiaoming Huang, Sammo Kam-Bo Hung",tt1386932
Monkey Man,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.,05 Apr 2024,"Action, Crime, Thriller",Action,6.8,2024,Dev Patel,"Dev Patel, Sharlto Copley, Pitobash",tt9214772
The Man from Nowhere,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,05 Aug 2010,"Action, Crime, Drama",Action,7.7,2010,Lee Jeong-beom,"Won Bin, Kim Sae-ron, Kim Tae-hoon",tt1527788
The November Man,An ex-C.I.A. operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high-level C.I.A. officials and the Russian President-elect.,27 Aug 2014,"Action, Adventure, Crime",Action,6.3,2014,Roger Donaldson,"Pierce Brosnan, Luke Bracey, Olga Kurylenko",tt2402157
Dead Man Down,"In New York City, a crime lord's right-hand man is helped by a woman seeking retribution.",08 Mar 2013,"Action, Adventure, Crime",Action,6.4,2013,Niels Arden Oplev,"Colin Farrell, Noomi Rapace, Dominic Cooper",tt2101341
The Man with the Iron Fists,"On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",02 Nov 2012,Action,Action,5.4,2012,RZA,"Russell Crowe, Cung Le, Lucy Liu",tt1258972
The Man from Toronto,The world's deadliest assassin and New York's biggest screw-up are mistaken for each other at an Airbnb rental.,24 Jun 2022,"Action, Adventure, Comedy",Action,5.8,2022,Patrick Hughes,"Kevin Hart, Woody Harrelson, Jasmine Mathews",tt11671006
Last Man Standing,A drifting gunslinger-for-hire finds himself in the middle of an ongoing war between the Irish and Italian mafia in a Prohibition era ghost town.,20 Sep 1996,"Action, Crime, Drama",Action,6.4,1996,Walter Hill,"Bruce Willis, Bruce Dern, William Sanderson",tt0116830
Ip Man 3,"When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand.",24 Dec 2015,"Action, Biography, Crime",Action,7.0,2015,Wilson Yip,"Donnie Yen, Lynn Xiong, Jin Zhang",tt2888046
A Man Apart,A man known as Diablo emerges to head a drug cartel after the previous leader is imprisoned.,04 Apr 2003,"Action, Crime, Drama",Action,6.0,2003,F. Gary Gray,"Vin Diesel, Timothy Olyphant, Larenz Tate",tt0266465
A Working Man,"Levon Cade left his profession behind to work construction and be a good dad to his daughter. But when a local girl vanishes, he's asked to return to the skills that made him a mythic figure in the shadowy world of counter-terrorism.",28 Mar 2025,"Action, Thriller",Action,5.7,2025,David Ayer,"Jason Statham, Jason Flemyng, Merab Ninidze",tt9150192
Repo Man,"A young punk, recruited by a car repo agency, finds himself in pursuit of a Chevrolet Malibu with a huge, $20,000 bounty--and something otherworldly stashed in its trunk.",02 Mar 1984,"Action, Comedy, Crime",Action,6.8,1984,Alex Cox,"Harry Dean Stanton, Emilio Estevez, Tracey Walter",tt0087995
Man of Tai Chi,A young martial artist's unparalleled Tai Chi skills land him in a highly lucrative underworld fight club.,05 Jul 2013,"Action, Drama",Action,6.0,2013,Keanu Reeves,"Hu Chen, Keanu Reeves, Karen Mok",tt2016940
Ip Man 4: The Finale,The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.,20 Dec 2019,"Action, Biography, Drama",Action,7.0,2019,Wilson Yip,"Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan",tt2076298
