Title,Plot,Released,Genre,Main_Genre,IMDb_Rating,Year,Director,Actors,IMDb_ID
One Man Band,Two buskers engage in a petty feud over a child's donation.,06 Jun 2006,"Animation, Short, Comedy",Comedy,7.6,2005,"Mark Andrews, Andrew Jimenez",Jack Angel,tt0479113
The Man with One Red Shoe,A man picked randomly out of a crowd is made the target of CIA survelliance and pursuit.,19 Jul 1985,"Comedy, Thriller",Comedy,5.7,1985,Stan Dragoti,"Tom Hanks, Lori Singer, Dabney Coleman",tt0089543
Dead Man on Campus,"Two college roommates go out and party, resulting in bad grades. They learn of the clause that says, ""If your roommate dies, you get an A,"" and decide to find someone who is on the verge, so to speak, to move in with them.",21 Aug 1998,Comedy,Comedy,6.0,1998,Alan Cohn,"Tom Everett Scott, Mark-Paul Gosselaar, Poppy Montgomery",tt0118301
Cadillac Man,Joey gets 2 days to sell 12 cars to keep his job and keep his girlfriends happy. It gets worse. He's juggling 3 buyers when a guy with a machine gun crashes into the car dealership and takes everybody hostage.,18 May 1990,"Comedy, Crime",Comedy,5.7,1990,Roger Donaldson,"Robin Williams, Tim Robbins, Pamela Reed",tt0099204
I Am Not an Easy Man,A shameless chauvinist gets a taste of his own medicine when he wakes up in a world dominated by women and locks horns with a powerful female author.,13 Apr 2018,"Comedy, Fantasy, Romance",Comedy,6.3,2018,Eléonore Pourriat,"Vincent Elbaz, Marie-Sophie Ferdane, Pierre Benezit",tt6857988
Accident Man,"Mike is a tough hitman, who makes his hits look like accidents or suicide. He's in a gang of hitmen, each with his own style. When his loved ex is killed, Mike looks for those responsible.",06 Feb 2018,"Action, Adventure, Comedy",Comedy,6.2,2018,Jesse V. Johnson,"Scott Adkins, Ray Stevenson, David Paymer",tt6237612
The Ladies Man,The Saturday Night Live (1975) character gets a big screen treatment.,13 Oct 2000,Comedy,Comedy,5.2,2000,Reginald Hudlin,"Tim Meadows, Karyn Parsons, Billy Dee Williams",tt0213790
I'm Your Man,"In order to obtain research funds for her studies, a scientist accepts an offer to participate in an extraordinary experiment: for three weeks, she is to live with a humanoid robot, created to make her happy.",24 Sep 2021,"Comedy, Drama, Romance",Comedy,7.1,2021,Maria Schrader,"Maren Eggert, Dan Stevens, Sandra Hüller",tt13087796
After the Thin Man,"Private detective Nick Charles and his wealthy wife Nora are back home at last and hoping for a quiet New Year when there is a murder. The obvious suspect is his wife, Nora's cousin, Selma.",25 Dec 1936,"Comedy, Crime, Mystery",Comedy,7.6,1936,W.S. Van Dyke,"William Powell, Myrna Loy, James Stewart",tt0027260
Blow the Man Down,"Mary Beth and Priscilla Connolly attempt to cover up a gruesome run-in with a dangerous man. To conceal their crime, the sisters must go deep into the criminal underbelly of their hometown, uncovering the town's darkest secrets.",20 Mar 2020,"Comedy, Crime, Drama",Comedy,6.4,2019,"Bridget Savage Cole, Danielle Krudy","David Coffin, David Pridemore, Adam Wolf Mayerson",tt8299768
The Best Man,"Just before his best friend's wedding, the life of a Chicago writer becomes crazy when his best friend guesses that his new book's story is based on his bride's fervent past.",22 Oct 1999,"Comedy, Drama, Romance",Comedy,6.7,1999,Malcolm D. Lee,"Taye Diggs, Nia Long, Morris Chestnut",tt0168501
The Man Who Copied,A Brazilian photocopier operator falls in love with a girl who lives in an opposite house and spends his evenings looking at her through his binoculars.,13 Jun 2003,"Comedy, Crime, Drama",Comedy,7.6,2003,Jorge Furtado,"Lázaro Ramos, Leandra Leal, Luana Piovani",tt0367859
4th Man Out,"A car mechanic in a small, working class town comes out of the closet to his unsuspecting, blue-collar best friends.",05 Feb 2016,"Comedy, Drama",Comedy,6.7,2015,Andrew Nackman,"Parker Young, Evan Todd, Chord Overstreet",tt3978720
The Man in the White Suit,"An altruistic chemist invents a fabric which resists wear and stain as a boon to humanity, but big business and labor realize it must be suppressed for economic reasons.",N/A,"Comedy, Drama, Sci-Fi",Comedy,7.2,1951,Alexander Mackendrick,"Alec Guinness, Joan Greenwood, Cecil Parker",tt0044876
The Giant Mechanical Man,An offbeat romantic comedy about a silver-painted street performer and the soft spoken zoo worker who falls for him.,27 Apr 2012,"Comedy, Drama, Romance",Comedy,6.6,2012,Lee Kirk,"Jenna Fischer, Chris Messina, Topher Grace",tt1769363
Man of the House,"A young boy refuses to accept his mother's new boyfriend despite his attempts to win his respect. Meanwhile, the disgruntled relative of a criminal he prosecuted seeks revenge.",03 Mar 1995,"Comedy, Family",Comedy,5.3,1995,James Orr,"Chevy Chase, Farrah Fawcett, Jonathan Taylor Thomas",tt0113755
The Stunt Man,"A fugitive stumbles onto a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady while facing off with his manipulative director.",27 Jun 1980,"Action, Comedy, Drama",Comedy,7.0,1980,Richard Rush,"Peter O'Toole, Steve Railsback, Barbara Hershey",tt0081568
Pretty Woman,"Edward, a rich entrepreneur, hires Vivian, a prostitute, to accompany him to a few social events. Trouble ensues when he falls in love with her and they try to bridge the gap between their worlds.",23 Mar 1990,"Comedy, Romance",Comedy,7.1,1990,Garry Marshall,"Richard Gere, Julia Roberts, Jason Alexander",tt0100405
The Other Woman,"After discovering that her boyfriend is married, Carly meets the wife he's been betraying; when yet another affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.",25 Apr 2014,"Comedy, Romance",Comedy,6.0,2014,Nick Cassavetes,"Cameron Diaz, Leslie Mann, Kate Upton",tt2203939
I Could Never Be Your Woman,A mother falls for a younger man while her daughter falls in love for the first time. Mother Nature messes with their fates.,11 May 2007,"Comedy, Drama, Romance",Comedy,6.0,2007,Amy Heckerling,"Michelle Pfeiffer, Paul Rudd, Saoirse Ronan",tt0466839
A Woman Is a Woman,An exotic dancer is desperate to become a mother and accepts her reluctant boyfriend's suggestion that she be impregnated by his best friend.,06 Sep 1961,"Comedy, Drama, Romance",Comedy,7.3,1961,Jean-Luc Godard,"Anna Karina, Jean-Claude Brialy, Jean-Paul Belmondo",tt0055572
The Woman in Red,"On his way to work, Teddy spots Charlotte, an incredibly beautiful Woman in Red. He really wants to meet her, but what would his wife say?",15 Aug 1984,"Comedy, Romance",Comedy,6.0,1984,Gene Wilder,"Gene Wilder, Kelly LeBrock, Charles Grodin",tt0088414
Diary of a Mad Black Woman,A couple's seemingly solid marriage begins to crumble when the wife discovers that her husband intends to divorce her.,25 Feb 2005,"Comedy, Drama, Romance",Comedy,5.7,2005,Darren Grant,"Kimberly Elise, Steve Harris, Tyler Perry",tt0422093
A Good Woman,A 1930s American socialite creates a scandal in the expatriate high society of the Amalfi Coast of Italy when she forms a secretive relationship with a wealthy American unbeknownst to his young wife.,13 May 2005,"Drama, Comedy, Romance",Comedy,6.4,2004,Mike Barker,"Helen Hunt, Scarlett Johansson, Tom Wilkinson",tt0379306
Woman at War,"Halla becomes a determined environmental activist, but this threatens a long-held hope of hers.",22 May 2018,"Adventure, Comedy, Drama",Comedy,7.4,2018,Benedikt Erlingsson,"Halldóra Geirharðsdóttir, Jóhann Sigurðarson, Juan Camilo Román Estrada",tt7279188
Woman of the Year,"Sportswriter Sam Craig and columnist Tess Harding, with the same New York newspaper, overcome their initial antagonism, fall in love and get married, only to find their relationship strained when he comes to resent her hectic life...",05 Mar 1942,"Comedy, Drama, Romance",Comedy,7.1,1942,George Stevens,"Spencer Tracy, Katharine Hepburn, Fay Bainter",tt0035567
Woman on Top,"After being cheated on by an insecure man, Brazilian chef Isabella Oliveira moves to San Francisco and finds success as the host of a cooking show.",22 Sep 2000,"Comedy, Fantasy, Romance",Comedy,5.3,2000,Fina Torres,"Penélope Cruz, Murilo Benício, Harold Perrineau",tt0206420
An Unmarried Woman,A Manhattan woman struggles with her identity as she tries to move on from a painful divorce.,17 Mar 1978,"Comedy, Drama, Romance",Comedy,7.2,1978,Paul Mazursky,"Jill Clayburgh, Alan Bates, Michael Murphy",tt0078444
Designing Woman,"A sportswriter and a fashion-designer marry after a whirlwind romance, and discover they have little in common.",26 Apr 1957,"Comedy, Romance",Comedy,6.7,1957,Vincente Minnelli,"Gregory Peck, Lauren Bacall, Dolores Gray",tt0050306
Scent of a Woman,A young private is assigned to accompany a blind captain. It soon becomes clear that they are both complex personalities.,20 Dec 1974,"Comedy, Drama",Comedy,7.5,1974,Dino Risi,"Vittorio Gassman, Alessandro Momo, Agostina Belli",tt0072037
The Incredible Shrinking Woman,A housewife grows smaller and smaller in reaction to chemicals found in cosmetics and household products.,30 Jan 1981,"Comedy, Sci-Fi",Comedy,5.5,1981,Joel Schumacher,"Lily Tomlin, Charles Grodin, Ned Beatty",tt0082558
Woman in the Moon,A tenacious scientist blasts off for the moon in hopes of riches that may be found there.,06 Feb 1931,"Adventure, Comedy, Drama",Comedy,7.2,1929,Fritz Lang,"Willy Fritsch, Gerda Maurus, Klaus Pohl",tt0019901
The Devil Is a Woman,"A young man is warned by a captain about a temptress; nonetheless, he finds himself falling in love with her.",15 Mar 1935,"Comedy, Drama, Romance",Comedy,6.9,1935,Josef von Sternberg,"Marlene Dietrich, Lionel Atwill, Edward Everett Horton",tt0026276
The Watermelon Woman,"A young black lesbian filmmaker probes into the life of The Watermelon Woman, a 1930s black actress who played 'mammy' archetypes.",05 Mar 1997,"Comedy, Drama, Romance",Comedy,7.1,1996,Cheryl Dunye,"Cheryl Dunye, Guinevere Turner, Valarie Walker",tt0118125
The Invisible Woman,"A romantic comedy in which a 35-year-old man is abandoned by his wife and falls in love with his neighbor, a perfect, ideal woman. The only problem: she doesn't exist.",05 Jun 2009,"Comedy, Fantasy",Comedy,6.3,2009,Cláudio Torres,"Selton Mello, Luana Piovani, Vladimir Brichta",tt1236397
Red-Headed Woman,A gold-digging secretary will do whatever it takes to get ahead in society-including luring her morally minded boss away from his happy marriage.,25 Jun 1932,"Comedy, Drama, Romance",Comedy,7.0,1932,Jack Conway,"Jean Harlow, Chester Morris, Lewis Stone",tt0023385
Woman in Love,"An actor's career takes a ""Tootsie""-like turn when he lets himself be cast as a woman in a movie.",15 Dec 2011,Comedy,Comedy,5.7,2011,Detlev Buck,"Alexandra Maria Lara, Jenny Moore, Dejan Bucin",tt1802810
"A Woman, a Gun and a Noodle Shop",The owner of a Chinese noodle shop's scheme to murder his adulterous wife and her lover goes awry.,11 Dec 2009,"Comedy, Drama",Comedy,5.6,2009,Yimou Zhang,"Dahong Ni, Ni Yan, Shenyang Xiao",tt1428556
The Invisible Woman,An attractive model with an ulterior motive volunteers as guinea pig for an invisibility machine.,27 Dec 1940,"Comedy, Horror, Romance",Comedy,6.0,1940,A. Edward Sutherland,"Virginia Bruce, John Barrymore, John Howard",tt0032637
Attack of the 50 Ft. Woman,"When an abused heiress grows to giant size because of her encounter with aliens, she decides to get revenge on her cheating husband and those who annoyed her.",11 Dec 1993,"Comedy, Sci-Fi",Comedy,4.0,1993,Christopher Guest,"Daryl Hannah, Daniel Baldwin, William Windom",tt0106317
"Where the Devil Can't Go, He Sends a Woman",Poland in the 80's was a country ruled by crisis and a sense of hopelessness. Only few knew how to turn crisis into a business. It was a golden time for them. How did they operate in a country where almost everything was forbidden?,14 Oct 2022,"Comedy, Drama",Comedy,N/A,2022,Heathcliff Janusz Iwanowski,"Sebastian Stankiewicz, Malgorzata Kozuchowska, Agnieszka Wiedlocha",tt15019036
How to Make Love to a Woman,"When Andy hears his girlfriend Lauren sigh after sex, he panics. After getting fruitless help from friends, porn stars and tantric experts, he finally realizes that in order to give Lauren the ""O"" word, he first needs to say the ""...",N/A,Comedy,Comedy,4.1,2010,Scott Culver,"Josh Meyers, Krysten Ritter, Eugene Byrd",tt1241017
Man - Woman Wanted,Falsely accused Warsaw art museum assistant goes into hiding as a woman.,22 Apr 1973,Comedy,Comedy,7.5,1973,Stanislaw Bareja,"Wojciech Pokora, Jolanta Bohdal, Mieczyslaw Czechowicz",tt0070557
"Where the Devil Can't Go, He Sends a Woman 2","The story of Polish fortunes, how were state-owned companies privatized, garnering millions into private pockets? Can business friends continue to trust each other when even more money is at stake? Who was pulling the strings in P...",20 Jan 2023,"Comedy, Crime, Drama",Comedy,N/A,2023,Heathcliff Janusz Iwanowski,"Malgorzata Kozuchowska, Agnieszka Wiedlocha, Dominika Gwit",tt20100884
A Taxing Woman,"If tax evasion is an art, wheeler-dealer Hideki Gondo is Rembrandt. And so, a determined taxing woman gets the tough assignment of trying to catch him.",01 Jun 1988,"Comedy, Crime",Comedy,7.3,1987,Jûzô Itami,"Nobuko Miyamoto, Tsutomu Yamazaki, Masahiko Tsugawa",tt0093502
And God Created Woman,"Aspiring and incarcerated rock singer, Robin Shea (Rebecca De Mornay) seduces hardworking carpenter Billy Moran (Vincent Spano). Robin marries Billy to get out of jail, but Robin's concerns are on politician James Tiernan (Frank L...",04 Mar 1988,"Comedy, Drama, Romance",Comedy,4.4,1988,Roger Vadim,"Rebecca De Mornay, Vincent Spano, Frank Langella",tt0092559
Gone with the Woman,A woman moves into a young man's home and starts to run his life -- a process that makes him fall hopelessly in love with her.,07 Sep 2007,"Comedy, Drama, Romance",Comedy,6.6,2007,Petter Næss,"Trond Fausa, Marian Saastad Ottesen, Peter Stormare",tt0780621
Woman Times Seven,Seven portraits of different types of women.,10 Oct 1967,"Comedy, Drama",Comedy,5.8,1967,Vittorio De Sica,"Shirley MacLaine, Peter Sellers, Elspeth March",tt0062502
Two-Faced Woman,"After a ski instructor catches her husband flirting with an old flame, she decides to pose as her (fictitious) twin sister in an attempt to keep him faithful.",02 Mar 1942,"Comedy, Mystery, Romance",Comedy,6.2,1941,George Cukor,"Greta Garbo, Melvyn Douglas, Constance Bennett",tt0034328
And the Woman Shall Fear Her Husband,An unmarried couple in the strict Greek society of the 60s.,18 Jan 1965,"Comedy, Drama",Comedy,7.8,1965,Giorgos Tzavellas,"Maro Kodou, Giorgos Konstadinou, Despo Diamantidou",tt0180749
A Woman,"A man disguises himself as a lady in order to be near his newfound sweetheart, after her father has forbidden her to see him.",12 Jul 1915,"Short, Comedy",Comedy,6.4,1915,Charles Chaplin,"Charles Chaplin, Billy Armstrong, Marta Golden",tt0006309
The Day I Became a Woman,A film comprised of three interconnected vignettes that depict women at three stages of life in Iran. The first part centers on a young girl on her ninth birthday who is told that she can no longer play with the boys she had been ...,08 Mar 2001,"Comedy, Drama",Comedy,7.3,2000,Marzieh Makhmalbaf,"Fatemeh Cherag Akhar, Hassan Nebhan, Shahr Banou Sisizadeh",tt0260332
The Other Woman,A man fantasizes about his best friend's new girlfriend. He is willing to throw caution to the wind to fulfill his wildest dreams.,25 Apr 2018,"Comedy, Drama, Romance",Comedy,5.4,2018,Daniel Auteuil,"Sandrine Kiberlain, Adriana Ugarte, Gérard Depardieu",tt7654872
Front Page Woman,"A woman reporter tries to prove she's just as good as any man, but runs into trouble along the way.",20 Jul 1935,"Comedy, Romance",Comedy,6.5,1935,Michael Curtiz,"Bette Davis, George Brent, Roscoe Karns",tt0026388
Smash-Up: The Story of a Woman,"A successful nightclub singer weds a struggling songwriter, but when his fame eclipses hers, she delves into alcoholism.",01 Mar 1947,"Comedy, Crime, Drama",Comedy,6.3,1947,Stuart Heisler,"Susan Hayward, Lee Bowman, Marsha Hunt",tt0039840
The Woman with a Broken Nose,"The act of a woman with a broken nose, who suddenly jumps out of a taxi and throws herself off the bridge in Belgrade, connects the lives of three witnesses. The suicide attempt becomes the existential catalyst to the misanthropis...",21 Jul 2011,"Comedy, Drama, Romance",Comedy,6.8,2010,Srdjan Koljevic,"Nebojsa Glogovac, Nada Sargin, Anica Dobra",tt1324061
Diary of a Mad Black Woman,Madea helps out her granddaughter after her husband leaves her.,N/A,"Comedy, Drama",Comedy,4.8,2002,Tyler Perry,"Curtis Blake, Marva King, Ty London, Tamela J. Mann",tt0481937
Woman on the Beach,A movie director entices his young friend to come to the beach on the pretext of writing a script. He then starts an affair with the friend's girlfriend.,31 Aug 2006,"Comedy, Drama, Romance",Comedy,6.8,2006,Hong Sang-soo,"Kim Seung-woo, Go Hyun-jung, Song Seon-mi",tt0835787
The Sunday Woman,"The investigation of the murder of ambiguous architect Garrone takes Police Commissioner Santamaria to the Turinese high society, but the results are unclear. In the meanwhile, another murder takes place.",14 Apr 1976,"Comedy, Crime, Mystery",Comedy,6.5,1975,Luigi Comencini,"Marcello Mastroianni, Jacqueline Bisset, Jean-Louis Trintignant",tt0074423
There's Always a Woman in Between,A couple who had a romantic marriage and life now are about to get divorce but meanwhile many people are intervening.,30 Jul 2008,"Comedy, Drama",Comedy,5.1,2008,Kamal Tabrizi,"Habib Rezaei, Golshifteh Farahani, Ahoo Kheradmand",tt1431246
"He's a Woman, She's a Man","A singer is so desperate to meet a famous record producer and his singer girlfriend that she disguises herself as a man, resulting in a wild love triangle.",23 Jul 1994,"Comedy, Romance",Comedy,7.3,1994,"Peter Ho-Sun Chan, Chi Lee","Leslie Cheung, Carina Lau, Anita Yuen",tt0109958
Bring Me the Head of the Machine Gun Woman,"Timid, video game-loving DJ Santiago seemingly digs his own grave when he agrees to bring a violent criminal kingpin the head of Machine Gun Woman.",23 May 2013,"Action, Comedy, Crime",Comedy,5.4,2012,Ernesto Díaz Espinoza,"Fernanda Urrejola, Matías Oviedo, Jorge Alís",tt2424028
Woman Haters,"The stooges join the ""Women Haters"" club and vow to have nothing to do with the fair sex. Larry marries a girl anyway and attempts to hide the fact from Moe and Curly as they take a train trip.",05 May 1934,"Comedy, Musical, Short",Comedy,6.6,1934,Archie Gottler,"Moe Howard, Larry Fine, Curly Howard",tt0026000
The Woman Driver,"A happily-married wife will gradually transform into a purposeful, yet clumsy little liar when her close friend borrows her brand-new car and gets involved in an unfortunate accident. Can life return to normal?",26 Oct 1964,Comedy,Comedy,6.2,1964,Alekos Sakellarios,"Aliki Vougiouklaki, Alekos Alexandrakis, Maro Kodou",tt0178033
A Greek Woman in the Harem,"Poor Rena tries to find money to pay her lottery partner because she destroyed the wining lottery-ticket, but, she and her brothers who try to help her, end up in a harem.",04 Jan 1971,"Comedy, Musical",Comedy,6.8,1971,Giannis Dalianidis,"Rena Vlahopoulou, Hronis Exarhakos, Vagelis Seilinos",tt0206938
There's Always a Woman,An investigator for the district attorney and his amateur-sleuth wife compete to solve a murder mystery.,20 Apr 1938,"Comedy, Crime, Mystery",Comedy,6.7,1938,Alexander Hall,"Joan Blondell, Melvyn Douglas, Mary Astor",tt0030857
Supermarket Woman,"Goro's supermarket is not doing well; the rival ""Bargains Galore"" threatens his business. A chance encounter with Hanako, an energetic woman he knew in grade school, results in big retail and life changes.",15 Jun 1996,"Comedy, Romance",Comedy,7.3,1996,Jûzô Itami,"Nobuko Miyamoto, Masahiko Tsugawa, Ryûnosuke Kaneda",tt0127310
The Ape Woman,A modest Neapolitan man meets a young woman with excessive hairiness. He exhibits her at fairs and marries her. It is after marriage that he receives a tempting offer from a French manager.,31 Jan 1964,"Comedy, Drama",Comedy,7.3,1964,Marco Ferreri,"Ugo Tognazzi, Annie Girardot, Achille Majeroni",tt0057006
Don't Touch the White Woman!,A highly stylized surreal farce about the events leading up to Custer's Last Stand anachronistically reenacted in an urban renewal area in modern Paris.,23 Jan 1974,"Comedy, Western",Comedy,6.0,1974,Marco Ferreri,"Marcello Mastroianni, Catherine Deneuve, Michel Piccoli",tt0072305
Tell It Like a Woman,"Stories of women, both in front of and behind the camera.",17 Feb 2023,"Action, Comedy, Drama",Comedy,3.7,2022,"Lucia Bulgheroni, Silvia Carobbio, Catherine Hardwicke","Cara Delevingne, Eva Longoria, Marcia Gay Harden",tt5850650
South Sea Woman,AWOL marine Sgt. Jim O'Hearn is court-martialed for a variety of offenses that carry 143 years in the stockade or the death penalty but refuses to aid in his own defense.,27 Jun 1953,"Action, Adventure, Comedy",Comedy,6.2,1953,Arthur Lubin,"Burt Lancaster, Virginia Mayo, Chuck Connors",tt0046348
Guinea Pig 4: Devil Woman Doctor,A drag queen doctor named Peter conducts experiments on patients which end up in anguish!,10 Sep 1986,"Comedy, Horror",Comedy,4.0,1986,Hajime Tabe,"Mitsuru Fukikoshi, Kobuhei Hayashiya, Masami Hisamoto, Nezumi Imamura",tt0161639
"Crazy, Stupid, Love.","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",29 Jul 2011,"Comedy, Drama, Romance",Comedy,7.4,2011,"Glenn Ficarra, John Requa","Steve Carell, Ryan Gosling, Julianne Moore",tt1570728
Love Actually,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",14 Nov 2003,"Comedy, Drama, Romance",Comedy,7.5,2003,Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson",tt0314331
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",29 Jan 1964,"Comedy, War",Comedy,8.3,1964,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden",tt0057012
Thor: Love and Thunder,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",08 Jul 2022,"Action, Adventure, Comedy",Comedy,6.2,2022,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale",tt10648342
Shakespeare in Love,"The world's greatest-ever playwright, William Shakespeare, is young, out of ideas, and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays.",08 Jan 1999,"Comedy, Drama, History",Comedy,7.1,1998,John Madden,"Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush",tt0138097
Love & Other Drugs,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.",24 Nov 2010,"Comedy, Drama, Romance",Comedy,6.7,2010,Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Judy Greer",tt0758752
P.S. I Love You,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,21 Dec 2007,"Comedy, Drama, Romance",Comedy,7.0,2007,Richard LaGravenese,"Hilary Swank, Gerard Butler, Harry Connick Jr.",tt0431308
Punch-Drunk Love,Socially frustrated Barry Egan calls a phone-sex line to curb his loneliness. Little does he know it will land him in deep trouble and will jeopardize his burgeoning romance with the mysterious Lena.,01 Nov 2002,"Comedy, Drama, Romance",Comedy,7.3,2002,Paul Thomas Anderson,"Adam Sandler, Emily Watson, Philip Seymour Hoffman",tt0272338
"Love, Rosie","Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for each other--or could they? When it comes to love, life and making the right choices, these two are their own worst enemies.",17 Oct 2014,"Comedy, Romance",Comedy,7.1,2014,Christian Ditter,"Lily Collins, Sam Claflin, Christian Cooke",tt1638002
Love and Monsters,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his high school sweetheart.",16 Oct 2020,"Action, Adventure, Comedy",Comedy,6.9,2020,Michael Matthews,"Dylan O'Brien, Jessica Henwick, Michael Rooker",tt2222042
"Love, Simon","Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.",16 Mar 2018,"Comedy, Drama, Romance",Comedy,7.5,2018,Greg Berlanti,"Nick Robinson, Jennifer Garner, Josh Duhamel",tt5164432
I Love You Phillip Morris,"A cop turns con man once he comes out of the closet. Once imprisoned, he meets the second love of his life, whom he'll stop at nothing to be with.",07 Jan 2011,"Biography, Comedy, Crime",Comedy,6.6,2009,"Glenn Ficarra, John Requa","Jim Carrey, Ewan McGregor, Leslie Mann",tt1045772
Stuck in Love.,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",02 May 2013,"Comedy, Drama, Romance",Comedy,7.2,2012,Josh Boone,"Greg Kinnear, Jennifer Connelly, Lily Collins",tt2205697
To Rome with Love,"The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",06 Jul 2012,"Comedy, Music, Romance",Comedy,6.3,2012,Woody Allen,"Woody Allen, Penélope Cruz, Jesse Eisenberg",tt1859650
Love Me If You Dare,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, the...",28 May 2004,"Comedy, Drama, Romance",Comedy,7.5,2003,Yann Samuell,"Guillaume Canet, Marion Cotillard, Thibault Verhaeghe",tt0364517
A Lot Like Love,"On a flight from LA to NY, Oliver and Emily make a connection, only to decide that they are not meant to be together. Over the next seven years, however, they are reunited repeatedly, and go from acquaintances to close friends to ...",22 Apr 2005,"Comedy, Drama, Romance",Comedy,6.6,2005,Nigel Cole,"Ashton Kutcher, Amanda Peet, Taryn Manning",tt0391304
Love Hard,"An unlucky-in-love L.A. girl falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in...",05 Nov 2021,"Comedy, Romance",Comedy,6.3,2021,Hernán Jiménez,"Nina Dobrev, Jimmy O. Yang, Darren Barnet",tt10752004
Wristcutters: A Love Story,A film set in a strange afterlife way station that has been reserved for people who have committed suicide.,02 Nov 2007,"Comedy, Drama, Fantasy",Comedy,7.2,2006,Goran Dukic,"Patrick Fugit, Shea Whigham, Tom Waits",tt0477139
Show Me Love,"Two teenage girls in small-town Sweden. Elin is beautiful, popular, and bored with life. Agnes is friendless, sad, and secretly in love with Elin.",23 Oct 1998,"Comedy, Drama, Romance",Comedy,7.5,1998,Lukas Moodysson,"Alexandra Dahlström, Rebecka Liljeberg, Erica Carlson",tt0150662
The Love Guru,"Pitka, an American raised outside of his country by gurus, returns to the States in order to break into the self-help business. His first challenge is to settle the romantic troubles and subsequent professional skid of a star hock...",20 Jun 2008,"Comedy, Romance, Sport",Comedy,3.8,2008,Marco Schnabel,"Mike Myers, Jessica Alba, Romany Malco",tt0811138
"New York, I Love You","Eleven love stories set in one of the most loved and hated cities of the world, New York City.",16 Oct 2009,"Comedy, Drama, Romance",Comedy,6.2,2008,"Fatih Akin, Yvan Attal, Randall Balsmeyer","Shia LaBeouf, Natalie Portman, Bradley Cooper",tt0808399
To All the Boys: P.S. I Still Love You,Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,12 Feb 2020,"Comedy, Drama, Romance",Comedy,6.1,2020,Michael Fimognari,"Lana Condor, Noah Centineo, Jordan Fisher",tt9354842
Down with Love,"In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author.",16 May 2003,"Comedy, Romance",Comedy,6.3,2003,Peyton Reed,"Ewan McGregor, Renée Zellweger, David Hyde Pierce",tt0309530
The One I Love,"A troubled couple vacate to a beautiful getaway, but bizarre circumstances further complicate their situation.",08 Aug 2014,"Comedy, Drama, Fantasy",Comedy,7.0,2014,Charlie McDowell,"Mark Duplass, Elisabeth Moss, Ted Danson",tt2756032
American Pie Presents: The Book of Love,"Ten years after the first American Pie movie, three new hapless virgins discover the Bible hidden in the school library at East Great Falls High.",22 Dec 2009,Comedy,Comedy,4.8,2009,John Putch,"Eugene Levy, Bug Hall, Kevin M. Horton, Brandon Hardesty",tt1407050
Can't Buy Me Love,An outcast secretly pays the most popular girl in school one thousand dollars to pretend to be his girlfriend for a month.,14 Aug 1987,"Comedy, Drama, Romance",Comedy,6.8,1987,Steve Rash,"Patrick Dempsey, Amanda Peterson, Courtney Gains",tt0092718
Love and Death,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",18 Jul 1975,"Comedy, War",Comedy,7.6,1975,Woody Allen,"Woody Allen, Diane Keaton, Georges Adet",tt0073312
